705 4
7.63924 7.90638 0.0847518 3.26931 
1.51304 2.0717 0.316995 3.64148 
-1.08341 -3.81637 -1.84467 1.48219 0
0.752484 0.527884 0.126968 -0.728283 3
1.04623 0.527884 0.521297 -0.667258 3
0.385304 0.527884 0.915625 -0.545207 3
0.45874 0.527884 0.521297 -0.22652 3
1.41341 0.527884 -0.26736 -0.850334 4
0.752484 0.527884 0.521297 -0.606233 3
0.0915605 -0.437507 0.521297 -0.423157 3
0.752484 0.0451885 -0.661689 -0.728283 3
0.45874 1.01058 1.30995 -0.22652 2
0.679048 0.0451885 0.521297 -0.470621 3
-5.04895 -3.81637 -0.26736 -0.897798 1
1.26654 0.527884 -0.26736 -0.829992 4
0.385304 -0.437507 -0.661689 -0.423157 3
0.605612 0.527884 0.126968 -0.585891 3
-0.569363 -1.4029 -0.661689 1.83478 1
0.82592 0.527884 0.126968 -0.6876 3
-2.55213 -3.81637 -1.84467 2.68913 0
0.82592 0.0451885 -0.661689 -0.748625 4
0.385304 0.0451885 0.126968 -0.606233 3
1.04623 0.527884 0.126968 -0.789309 4
1.11966 1.01058 0.521297 -0.775748 4
1.33997 1.01058 0.126968 -0.836773 4
0.82592 1.01058 0.915625 -0.626575 4
1.1931 1.01058 0.521297 -0.707942 4
1.11966 1.01058 0.521297 -0.714722 4
1.11966 1.01058 0.915625 -0.592672 4
1.26654 0.527884 0.126968 -0.768967 4
-0.349055 1.01058 0.521297 0.410856 3
0.311868 1.01058 0.915625 -0.199397 3
0.238432 1.01058 0.915625 -0.409596 3
0.0181246 1.01058 1.30995 0.200657 3
0.238432 1.01058 0.521297 -0.409596 3
1.41341 1.01058 0.126968 -0.850334 5
