1795 4
7.63506 213.782 0 0.526508 
1.54737 43.3265 1 0.464816 
-1.79524 -1.79524 0 0.250313 1
0.37433 0.37433 0 -0.564142 3
0.489733 0.489733 0 -0.299828 4
-0.0872819 -0.0872819 0 -0.551848 3
1.15907 1.15907 0 -0.404324 4
-0.0872819 -0.0872819 0 -0.853043 3
-0.271927 -0.271927 0 -0.195332 3
-0.133443 -0.133443 0 -0.699372 3
0.974425 0.974425 0 0.852702 3
-0.387329 -0.387329 0 -0.779281 3
0.39741 0.39741 0 -0.917585 3
0.628216 0.628216 0 -0.739327 4
0.282007 0.282007 0 -0.619463 3
0.512813 0.512813 0 -1.00057 3
-0.0180401 -0.0180401 0 -0.0939095 3
0.39741 0.39741 0 0.201138 4
0.720538 0.720538 0 -0.874557 4
-0.133443 -0.133443 0 -0.339783 3
0.7667 0.7667 0 -0.075469 3
-0.687377 -0.687377 0 -0.333636 2
-1.44904 -1.44904 0 1.01252 2
0.974425 0.974425 0 -0.416618 4
0.235846 0.235846 0 -1.06818 3
0.189685 0.189685 0 0.311781 4
0.512813 0.512813 0 -1.00671 3
0.743619 0.743619 0 -0.797721 4
-0.848941 -0.848941 0 -1.10814 2
0.697458 0.697458 0 -1.05896 4
0.697458 0.697458 0 -0.88685 4
-0.0180401 -0.0180401 0 -0.545701 3
0.37433 0.37433 0 -0.800795 3
-0.179604 -0.179604 0 -0.266021 3
0.582055 0.582055 0 -0.00170707 3
0.235846 0.235846 0 0.566875 3
-2.18761 -2.18761 0 2.00831 1
0.605136 0.605136 0 -0.849969 3
-1.65676 -1.65676 0 0.628343 1
0.189685 0.189685 0 -0.576436 3
0.258927 0.258927 0 -0.302902 3
0.235846 0.235846 0 -0.272168 3
-0.156524 -0.156524 0 -0.717813 3
0.258927 0.258927 0 -0.0908361 4
-0.341168 -0.341168 0 -0.136937 3
-0.318088 -0.318088 0 -0.170745 3
-0.225765 -0.225765 0 0.490039 3
-0.571974 -0.571974 0 -0.465793 3
-0.756619 -0.756619 0 0.321001 3
-0.0411207 -0.0411207 0 -0.87763 3
-0.80278 -0.80278 0 0.668297 3
-1.74908 -1.74908 0 0.677518 1
0.835941 0.835941 0 -0.404324 4
-0.825861 -0.825861 0 -0.545701 2
-0.225765 -0.225765 0 -1.05896 3
-1.03359 -1.03359 0 -0.564142 2
-0.271927 -0.271927 0 -0.564142 2
0.189685 0.189685 0 -0.527261 3
-0.318088 -0.318088 0 -0.782354 2
0.305088 0.305088 0 0.336369 4
0.535894 0.535894 0 -0.797721 4
-0.179604 -0.179604 0 -0.76084 3
0.651297 0.651297 0 -0.342856 4
-1.05667 -1.05667 0 -0.22914 2
0.235846 0.235846 0 0.330222 4
0.512813 0.512813 0 -0.979053 4
0.235846 0.235846 0 -0.401251 3
0.328169 0.328169 0 -0.782354 3
0.189685 0.189685 0 -0.527261 3
1.08983 1.08983 0 0.0966422 4
0.166605 0.166605 0 -0.0078539 3
0.582055 0.582055 0 -0.521114 4
-0.271927 -0.271927 0 -0.690152 3
-0.387329 -0.387329 0 -0.413545 3
0.489733 0.489733 0 -0.846896 3
-0.0411207 -0.0411207 0 -0.24758 3
-0.848941 -0.848941 0 -0.0170741 2
0.189685 0.189685 0 -0.699372 3
-1.21823 -1.21823 0 -0.939098 1
-3.13392 -3.13392 0 1.37211 0
-2.88003 -2.88003 0 1.90381 0
-0.618135 -0.618135 0 -0.834602 2
1.29755 1.29755 0 -1.01901 5
0.7667 0.7667 0 -0.684005 4
0.697458 0.697458 0 -0.754694 4
1.06675 1.06675 0 -1.0774 4
-0.341168 -0.341168 0 2.01445 4
1.06675 1.06675 0 -0.951392 4
0.582055 0.582055 0 0.0167334 4
-0.0872819 -0.0872819 0 1.12624 4
0.905183 0.905183 0 -1.09892 4
0.39741 0.39741 0 -0.379737 4
-0.225765 -0.225765 0 0.726692 3
0.974425 0.974425 0 -1.08355 4
0.489733 0.489733 0 -0.342856 4
1.11291 1.11291 0 -0.622537 4
1.11291 1.11291 0 -1.0313 4
1.08983 1.08983 0 -0.419691 4
0.489733 0.489733 0 -1.07433 3
0.997505 0.997505 0 -0.597949 4
0.720538 0.720538 0 0.954125 3
0.120443 0.120443 0 2.48469 2
1.4822 1.4822 0 0.520773 4
0.697458 0.697458 0 2.55537 3
1.45912 1.45912 0 0.981786 4
0.720538 0.720538 0 -0.896071 4
1.43604 1.43604 0 0.539214 4
